Model,MIA,Leak@1,Leak@2,Leak@4,Leak@8,Leak@16,Leak@32,Leak@64,Leak@128
RULE_NPO,535.1642456054688,0.0041,0.007841457286432159,0.014444380184262338,0.025112526671404175,0.040708896116271875,0.062015940089825534,0.09007593780903621,0.12662510661490325
Minmax,138.1577911376953,0.003687499999999998,0.00707261306532663,0.013091335851693474,0.0229375314703101,0.037749108244772206,0.05996046018502903,0.09539056207766779,0.15302009177734335
NPO,3.36484432220459,0.14985,0.22138844221105514,0.29832071165703905,0.37169440453871433,0.4368882527865812,0.4946722452144933,0.5518113398613669,0.6106388716738197
GradDiff,6.288600444793701,0.2734124999999999,0.38321896984924647,0.4936612348390166,0.5928283462551656,0.6758833031470506,0.7457081808701166,0.8049606730372669,0.8533419628891862
Original,1.8508535623550415,0.28724137931034466,0.40460121926245646,0.5228993442901153,0.6289908950355101,0.717853525602435,0.7894249421188521,0.8432452399835968,0.8828027801631194
Retrain,7.853061676025391,0.16863750000000016,0.2357369346733669,0.3071954655990305,0.3778533498054021,0.444045977703302,0.5044683717075703,0.5590489791476955,0.6111291778385691
